commune_id_2cap,time,commune_name_2cap,provinceName_2cap,nguycosatlo,nguycoluquet
1786,2026-09-12 16:00:00,Hướng Phùng,Quảng Trị,Cao,Cao
1808,2026-09-12 16:00:00,Hải Lăng,Quảng Trị,Trung bình,Trung bình
1783,2026-09-12 16:00:00,Khe Sanh,Quảng Trị,Cao,Cao
1774,2026-09-12 16:00:00,Kim Ngân,Quảng Trị,Trung bình,Trung bình
1741,2026-09-12 16:00:00,Kim Phú,Quảng Trị,Trung bình,Trung bình
1740,2026-09-12 16:00:00,Kim Điền,Quảng Trị,Trung bình,Trung bình
1798,2026-09-12 16:00:00,La Lay,Quảng Trị,Rất cao,Rất cao
1784,2026-09-12 16:00:00,Lao Bảo,Quảng Trị,Trung bình,Trung bình
1789,2026-09-12 16:00:00,Lìa,Quảng Trị,Trung bình,Trung bình
1737,2026-09-12 16:00:00,Minh Hóa,Quảng Trị,Trung bình,Trung bình
1809,2026-09-12 16:00:00,Nam Hải Lăng,Quảng Trị,Trung bình,Trung bình
1749,2026-09-12 16:00:00,Phú Trạch,Quảng Trị,Cao,Cao
1777,2026-09-12 16:00:00,Quảng Trị,Quảng Trị,Trung bình,Trung bình
1801,2026-09-12 16:00:00,Triệu Phong,Quảng Trị,Trung bình,Trung bình
1764,2026-09-12 16:00:00,Trường Sơn,Quảng Trị,Cao,Cao
1746,2026-09-12 16:00:00,Tuyên Bình,Quảng Trị,Cao,Cao
1747,2026-09-12 16:00:00,Tuyên Hóa,Quảng Trị,Trung bình,Trung bình
1744,2026-09-12 16:00:00,Tuyên Lâm,Quảng Trị,Trung bình,Trung bình
1745,2026-09-12 16:00:00,Tuyên Phú,Quảng Trị,Trung bình,Trung bình
1797,2026-09-12 16:00:00,Tà Rụt,Quảng Trị,Rất cao,Rất cao
1787,2026-09-12 16:00:00,Tân Lập,Quảng Trị,Trung bình,Trung bình
1805,2026-09-12 16:00:00,Ái Tử,Quảng Trị,Trung bình,Trung bình
1795,2026-09-12 16:00:00,Đakrông,Quảng Trị,Rất cao,Rất cao
1742,2026-09-12 16:00:00,Đồng Lê,Quảng Trị,Trung bình,Trung bình
1841,2026-09-12 16:00:00,A Lưới 1,TP. Huế,Rất cao,Rất cao
1839,2026-09-12 16:00:00,A Lưới 2,TP. Huế,Rất cao,Rất cao
1842,2026-09-12 16:00:00,A Lưới 3,TP. Huế,Rất cao,Rất cao
1843,2026-09-12 16:00:00,A Lưới 4,TP. Huế,Rất cao,Rất cao
1840,2026-09-12 16:00:00,A Lưới 5,TP. Huế,Rất cao,Rất cao
1838,2026-09-12 16:00:00,Bình Điền,TP. Huế,Rất cao,Rất cao
1847,2026-09-12 16:00:00,Chân Mây - Lăng Cô,TP. Huế,Rất cao,Rất cao
1846,2026-09-12 16:00:00,Hưng Lộc,TP. Huế,Cao,Cao
1816,2026-09-12 16:00:00,Hương An,TP. Huế,Trung bình,Trung bình
1835,2026-09-12 16:00:00,Hương Trà,TP. Huế,Trung bình,Trung bình
1849,2026-09-12 16:00:00,Khe Tre,TP. Huế,Rất cao,Rất cao
1813,2026-09-12 16:00:00,Kim Long,TP. Huế,Cao,Cao
1837,2026-09-12 16:00:00,Kim Trà,TP. Huế,Cao,Cao
1851,2026-09-12 16:00:00,Long Quảng,TP. Huế,Rất cao,Rất cao
1850,2026-09-12 16:00:00,Nam Đông,TP. Huế,Rất cao,Rất cao
1822,2026-09-12 16:00:00,Phong Thái,TP. Huế,Trung bình,Trung bình
1819,2026-09-12 16:00:00,Phong Điền,TP. Huế,Rất cao,Rất cao
1832,2026-09-12 16:00:00,Phú Bài,TP. Huế,Cao,Cao
1844,2026-09-12 16:00:00,Phú Lộc,TP. Huế,Rất cao,Rất cao
1862,2026-09-12 16:00:00,An Khê,TP. Đà Nẵng,Rất cao,Rất cao
1863,2026-09-12 16:00:00,Bà Nà,TP. Đà Nẵng,Rất cao,Rất cao
1910,2026-09-12 16:00:00,Bến Giằng,TP. Đà Nẵng,Rất cao,Rất cao
1885,2026-09-12 16:00:00,Bến Hiên,TP. Đà Nẵng,Cao,Cao
1872,2026-09-12 16:00:00,Chiên Đàn,TP. Đà Nẵng,Rất cao,Rất cao
1899,2026-09-12 16:00:00,Duy Xuyên,TP. Đà Nẵng,Rất cao,Rất cao
1919,2026-09-12 16:00:00,Hiệp Đức,TP. Đà Nẵng,,Rất cao
1888,2026-09-12 16:00:00,Hà Nha,TP. Đà Nẵng,Rất cao,Rất cao
1854,2026-09-12 16:00:00,Hòa Khánh,TP. Đà Nẵng,Rất cao,Rất cao
1866,2026-09-12 16:00:00,Hòa Tiến,TP. Đà Nẵng,Rất cao,Rất cao
1865,2026-09-12 16:00:00,Hòa Vang,TP. Đà Nẵng,Rất cao,Rất cao
1879,2026-09-12 16:00:00,Hùng Sơn,TP. Đà Nẵng,Trung bình,Trung bình
1852,2026-09-12 16:00:00,Hải Vân,TP. Đà Nẵng,Rất cao,Rất cao
1908,2026-09-12 16:00:00,La Dêê,TP. Đà Nẵng,Trung bình,Trung bình
1907,2026-09-12 16:00:00,La Êê,TP. Đà Nẵng,Trung bình,Trung bình
1853,2026-09-12 16:00:00,Liên Chiểu,TP. Đà Nẵng,Rất cao,Rất cao
1928,2026-09-12 16:00:00,Lãnh Ngọc,TP. Đà Nẵng,Cao,Cao
1909,2026-09-12 16:00:00,Nam Giang,TP. Đà Nẵng,Trung bình,Trung bình
1937,2026-09-12 16:00:00,Nam Trà My,TP. Đà Nẵng,Rất cao,Rất cao
1903,2026-09-12 16:00:00,Nông Sơn,TP. Đà Nẵng,Rất cao,Rất cao
1940,2026-09-12 16:00:00,Núi Thành,TP. Đà Nẵng,Cao,Cao
1874,2026-09-12 16:00:00,Phú Ninh,TP. Đà Nẵng,Rất cao,Rất cao
1890,2026-09-12 16:00:00,Phú Thuận,TP. Đà Nẵng,Rất cao,Rất cao
1915,2026-09-12 16:00:00,Phước Chánh,TP. Đà Nẵng,Rất cao,Rất cao
1913,2026-09-12 16:00:00,Phước Hiệp,TP. Đà Nẵng,Rất cao,Rất cao
1914,2026-09-12 16:00:00,Phước Năng,TP. Đà Nẵng,Rất cao,Rất cao
1916,2026-09-12 16:00:00,Phước Thành,TP. Đà Nẵng,Rất cao,Rất cao
1918,2026-09-12 16:00:00,Phước Trà,TP. Đà Nẵng,Rất cao,Rất cao
1905,2026-09-12 16:00:00,Quế Phước,TP. Đà Nẵng,Rất cao,Rất cao
1901,2026-09-12 16:00:00,Quế Sơn,TP. Đà Nẵng,Rất cao,Rất cao
1904,2026-09-12 16:00:00,Quế Sơn Trung,TP. Đà Nẵng,Rất cao,Rất cao
1884,2026-09-12 16:00:00,Sông Vàng,TP. Đà Nẵng,Trung bình,Trung bình
1927,2026-09-12 16:00:00,Sơn Cẩm Hà,TP. Đà Nẵng,Rất cao,Rất cao
1859,2026-09-12 16:00:00,Sơn Trà,TP. Đà Nẵng,Rất cao,Rất cao
1943,2026-09-12 16:00:00,Tam Anh,TP. Đà Nẵng,Cao,Cao
1945,2026-09-12 16:00:00,Tam Mỹ,TP. Đà Nẵng,Rất cao,Rất cao
1941,2026-09-12 16:00:00,Tam Xuân,TP. Đà Nẵng,Cao,Cao
1898,2026-09-12 16:00:00,Thu Bồn,TP. Đà Nẵng,Rất cao,Rất cao
1923,2026-09-12 16:00:00,Thăng Phú,TP. Đà Nẵng,Rất cao,Rất cao
1887,2026-09-12 16:00:00,Thượng Đức,TP. Đà Nẵng,Rất cao,Rất cao
1929,2026-09-12 16:00:00,Thạnh Bình,TP. Đà Nẵng,Rất cao,Rất cao
1906,2026-09-12 16:00:00,Thạnh Mỹ,TP. Đà Nẵng,Cao,Cao
1926,2026-09-12 16:00:00,Tiên Phước,TP. Đà Nẵng,Cao,Cao
1934,2026-09-12 16:00:00,Trà Giáp,TP. Đà Nẵng,Rất cao,Rất cao
1935,2026-09-12 16:00:00,Trà Leng,TP. Đà Nẵng,Rất cao,Rất cao
1931,2026-09-12 16:00:00,Trà Liên,TP. Đà Nẵng,Rất cao,Rất cao
1930,2026-09-12 16:00:00,Trà My,TP. Đà Nẵng,Rất cao,Rất cao
1933,2026-09-12 16:00:00,Trà Tân,TP. Đà Nẵng,Cao,Cao
1936,2026-09-12 16:00:00,Trà Tập,TP. Đà Nẵng,Trung bình,Trung bình
1939,2026-09-12 16:00:00,Trà Vân,TP. Đà Nẵng,Rất cao,Rất cao
1873,2026-09-12 16:00:00,Tây Hồ,TP. Đà Nẵng,Rất cao,Rất cao
1917,2026-09-12 16:00:00,Việt An,TP. Đà Nẵng,Rất cao,Rất cao
1886,2026-09-12 16:00:00,Đại Lộc,TP. Đà Nẵng,Rất cao,Rất cao
1911,2026-09-12 16:00:00,Đắc Pring,TP. Đà Nẵng,Trung bình,Trung bình
1922,2026-09-12 16:00:00,Đồng Dương,TP. Đà Nẵng,Rất cao,Rất cao
1942,2026-09-12 16:00:00,Đức Phú,TP. Đà Nẵng,Cao,Cao
2732,2026-09-12 16:00:00,Bình Minh,Tây Ninh,Trung bình,Trung bình
2318,2026-09-12 16:00:00,Ea Riêng,Đắk Lắk,Trung bình,Trung bình
2271,2026-09-12 16:00:00,Hòa Thịnh,Đắk Lắk,Cao,Cao
2273,2026-09-12 16:00:00,Hòa Xuân,Đắk Lắk,Rất cao,Rất cao
2244,2026-09-12 16:00:00,Sông Cầu,Đắk Lắk,Trung bình,Trung bình
2262,2026-09-12 16:00:00,Sông Hinh,Đắk Lắk,Trung bình,Trung bình
2258,2026-09-12 16:00:00,Sơn Hòa,Đắk Lắk,Trung bình,Trung bình
2269,2026-09-12 16:00:00,Đông Hòa,Đắk Lắk,Trung bình,Trung bình
2468,2026-09-12 16:00:00,Bình Phước,Đồng Nai,Trung bình,Trung bình
2480,2026-09-12 16:00:00,Lộc Ninh,Đồng Nai,Trung bình,Trung bình
2481,2026-09-12 16:00:00,Lộc Tấn,Đồng Nai,Trung bình,Trung bình
2529,2026-09-12 16:00:00,Thanh Sơn,Đồng Nai,Trung bình,Trung bình
2497,2026-09-12 16:00:00,Thuận Lợi,Đồng Nai,Trung bình,Trung bình
2495,2026-09-12 16:00:00,Đồng Phú,Đồng Nai,Trung bình,Trung bình
2469,2026-09-12 16:00:00,Đồng Xoài,Đồng Nai,Trung bình,Trung bình
